year,d14c,sig_d14c
-1645.5,9.9,2.8
-1645.5,18.1,2.8
-1645.5,12.1,2.9
-1655.5,20.1,2.2
-1665.5,15.3,4.3
-1665.5,11.6,4.3
-1675.5,25.6,2.8
-1685.5,21.7,2.8
-1695.5,12.6,2.8
-1695.5,14.7,2.9
-1705.5,15.7,2.9
-1715.5,20.6,2.8
-1725.5,20.7,2.8
-1735.5,19.0,2.8
-1745.5,15.3,2.9
-1755.5,14.5,2.1
-1765.5,19.0,2.3
-1775.5,15.3,2.1
-1785.5,12.5,2.6
-1785.5,16.7,2.8
-1795.5,20.8,2.8
-1795.5,14.1,2.8
-1805.5,18.5,2.7
-1805.5,25.4,2.9
-1815.5,16.8,2.8
-1815.5,21.1,2.8
-1825.5,22.4,2.9
-1835.5,15.7,2.8
-1845.5,25.4,2.9
-1855.5,27.4,2.8
-1865.5,26.1,2.9
-1875.5,24.5,2.8
-1875.5,30.0,2.9
-1885.5,21.3,2.8
-1895.5,19.7,2.9
-1905.5,24.1,2.8
-1915.5,25.1,2.8
-1925.5,21.0,2.3
-1935.5,22.9,3.3
-1935.5,22.6,4.3
-1945.5,20.6,4.3
-1945.5,24.0,4.3
-1955.5,23.1,2.9
-1965.5,23.4,2.8
-1975.5,22.2,2.8
-1985.5,19.4,2.8
-1995.5,28.7,2.8
-2005.5,32.0,3.0
-2015.5,26.3,2.8
-2025.5,28.7,2.8
-2035.5,24.0,3.4
-2035.5,21.4,2.8
-2035.5,27.6,3.2
-2045.5,18.5,2.7
-2045.5,27.5,2.9
-2055.5,18.9,2.8
-2055.5,26.0,2.9
-2065.5,28.3,2.8
-2075.5,21.7,2.8
-2075.5,21.0,2.8
-2085.5,32.3,2.8
-2095.5,30.1,2.8
-2105.5,32.8,2.8
-2105.5,37.4,2.8
-2115.5,32.1,2.8
-2125.5,35.0,2.8
-2135.5,32.1,2.8
-2145.5,25.2,2.3
-2145.5,30.8,2.8
-2155.5,27.6,2.6
-2155.5,32.1,2.8
-2165.5,32.4,3.0
-2175.5,34.7,2.6
-2175.5,34.4,3.0
-2185.5,32.7,2.6
-2185.5,39.6,2.2
-2195.5,33.3,2.6
-2195.5,37.8,2.2
-2205.5,30.1,2.6
-2215.5,27.1,2.8
-2215.5,33.0,2.8
-2225.5,32.8,2.2
-2225.5,37.0,3.0
-2235.5,28.8,3.2
-2245.5,30.4,3.2
-2245.5,31.9,2.8
-2255.5,32.9,2.8
-2255.5,41.1,2.9
-2265.5,39.9,2.8
-2275.5,36.3,3.5
-2285.5,43.5,4.2
-2285.5,34.4,3.0
-2295.5,32.3,2.8
-2295.5,37.6,3.2
-2305.5,38.3,3.2
-2315.5,35.6,2.8
-2325.5,38.8,3.0
-2325.5,39.6,2.8
-2335.5,38.7,2.8
-2345.5,35.4,3.0
-2345.5,40.5,3.0
-2355.5,36.4,3.0
-2365.5,34.5,3.0
-2365.5,40.3,3.0
-2375.5,39.0,3.0
-2385.5,39.9,3.0
-2385.5,49.1,3.0
-2395.5,47.6,4.7
-2395.5,52.2,4.7
-2405.5,42.3,2.2
-2415.5,41.7,2.3
-2425.5,47.1,2.9
-2435.5,45.5,2.9
-2435.5,39.2,3.0
-2435.5,50.0,2.2
-2445.5,48.2,3.0
-2465.5,47.8,3.0
-2475.5,36.8,3.0
-2475.5,37.3,3.0
-2485.5,39.4,3.0
-2485.5,42.9,3.0
-2495.5,35.6,3.2
-2505.5,30.5,3.2
-2505.5,36.1,3.2
-2515.5,42.1,2.9
-2515.5,39.1,3.4
-2525.5,44.5,2.2
-2525.5,44.7,2.9
-2525.5,44.3,3.0
-2535.5,47.0,2.9
-2535.5,49.1,3.0
-2545.5,46.7,2.9
-2545.5,50.5,3.0
-2555.5,48.5,3.0
-2555.5,47.3,2.6
-2565.5,44.5,2.3
-2565.5,49.3,3.0
-2575.5,44.4,3.4
-2575.5,43.3,3.0
-2585.5,42.8,2.9
-2585.5,39.0,2.3
-2595.5,46.9,2.9
-2595.5,46.9,3.0
-2605.5,40.2,3.2
-2615.5,48.5,2.7
-2615.5,51.2,3.0
-2625.5,47.6,3.0
-2625.5,43.5,3.0
-2635.5,44.0,2.2
-2635.5,44.7,3.0
-2645.5,39.0,3.0
-2654.5,50.6,3.0
-2664.5,49.2,2.9
-2664.5,50.7,3.0
-2674.5,48.7,2.9
-2674.5,46.9,3.0
-2684.5,47.1,2.9
-2684.5,50.5,3.0
-2694.5,48.1,3.0
-2704.5,44.0,2.9
-2704.5,43.7,2.9
-2704.5,55.6,3.0
-2714.5,45.3,3.3
-2724.5,51.8,3.3
-2734.5,49.9,2.6
-2744.5,54.0,3.0
-2754.5,54.5,3.0
-2764.5,47.3,3.4
-2774.5,54.3,2.8
-2784.5,58.5,2.9
-2784.5,55.9,3.3
-2794.5,54.0,2.9
-2794.5,57.5,3.3
-2804.5,53.7,2.9
-2814.5,63.7,2.9
-2814.5,69.6,3.3
-2824.5,72.3,3.3
-2834.5,67.6,2.9
-2844.5,65.0,2.9
-2854.5,66.6,3.1
-2864.5,66.3,2.8
-2874.5,64.2,2.9
-2874.5,65.8,2.9
-2884.5,61.3,2.9
-2894.5,55.1,3.0
-2904.5,54.4,3.0
-2914.5,53.3,2.9
-2924.5,47.9,3.0
-2934.5,46.8,3.4
-2944.5,45.2,2.9
-2954.5,49.3,2.9
-2954.5,55.6,2.9
-2964.5,52.2,2.9
-2974.5,50.2,3.0
-2984.5,56.7,3.0
-2984.5,56.7,2.9
-2994.5,59.7,3.0
-3004.5,58.3,3.0
