year,rate
1666.666667,1.242453446
1666.75,1.247841557
1666.833333,1.253191085
1666.916667,1.25847294
1667,1.263659394
1667.083333,1.268724315
1667.166667,1.273643377
1667.25,1.278394244
1667.333333,1.282956726
1667.416667,1.287312904
1667.5,1.291447226
1667.583333,1.295346579
1667.666667,1.299000325
1667.75,1.302400315
1667.833333,1.305540868
1667.916667,1.308418729
1668,1.311032997
1668.083333,1.31338502
1668.166667,1.315478281
1668.25,1.31731824
1668.333333,1.318912166
1668.416667,1.320268946
1668.5,1.321398866
1668.583333,1.322313387
1668.666667,1.323024899
1668.75,1.323546466
1668.833333,1.32389156
1668.916667,1.324073797
1669,1.324106668
1669.083333,1.324003274
1669.166667,1.323776071
1669.25,1.323436625
1669.333333,1.322995386
1669.416667,1.322461483
1669.5,1.321842533
1669.583333,1.321144492
1669.666667,1.320371517
1669.75,1.319525865
1669.833333,1.318607829
1669.916667,1.317615689
1670,1.316545712
1670.083333,1.315392176
1670.166667,1.314147425
1670.25,1.312801961
1670.333333,1.311344566
1670.416667,1.309762446
1670.5,1.308041419
1670.583333,1.30616611
1670.666667,1.304120185
1670.75,1.301886596
1670.833333,1.299447844
1670.916667,1.29678626
1671,1.29388429
1671.083333,1.290724783
1671.166667,1.287291288
1671.25,1.283568336
1671.333333,1.279541721
1671.416667,1.275198762
1671.5,1.270528555
1671.583333,1.2655222
1671.666667,1.260173013
1671.75,1.254476706
1671.833333,1.248431551
1671.916667,1.242038513
1672,1.235301354
1672.083333,1.228226717
1672.166667,1.220824178
1672.25,1.213106273
1672.333333,1.2050885
1672.416667,1.196789295
1672.5,1.188229985
1672.583333,1.179434712
1672.666667,1.170430337
1672.75,1.161246314
1672.833333,1.151914547
1672.916667,1.142469218
1673,1.132946589
1673.083333,1.123384791
1673.166667,1.113823584
1673.25,1.104304098
1673.333333,1.094868555
1673.416667,1.085559976
1673.5,1.07642187
1673.583333,1.06749791
1673.666667,1.058831596
1673.75,1.05046591
1673.833333,1.042442965
1673.916667,1.034803647
1674,1.027587264
1674.083333,1.020831191
1674.166667,1.014570531
1674.25,1.008837784
1674.333333,1.003662533
1674.416667,0.999071158
1674.5,0.995086564
1674.583333,0.991727947
1674.666667,0.989010584
1674.75,0.986945658
1674.833333,0.985540125
1674.916667,0.984796605
1675,0.98471333
1675.083333,0.985284123
1675.166667,0.986498426
1675.25,0.988341372
1675.333333,0.9907939
1675.416667,0.993832929
1675.5,0.997431557
1675.583333,1.001559322
1675.666667,1.00618249
1675.75,1.011264389
1675.833333,1.01676577
1675.916667,1.022645195
1676,1.028859447
1676.083333,1.035363955
1676.166667,1.042113225
1676.25,1.049061266
1676.333333,1.056162014
1676.416667,1.063369738
1676.5,1.070639431
1676.583333,1.077927177
1676.666667,1.085190492
1676.75,1.092388641
1676.833333,1.099482923
1676.916667,1.106436932
1677,1.113216786
1677.083333,1.119791331
1677.166667,1.126132313
1677.25,1.13221453
1677.333333,1.138015956
1677.416667,1.143517841
1677.5,1.148704789
1677.583333,1.153564815
1677.666667,1.158089379
1677.75,1.1622734
1677.833333,1.166115248
1677.916667,1.169616712
1678,1.172782955
1678.083333,1.175622434
1678.166667,1.178146806
1678.25,1.180370807
1678.333333,1.182312104
1678.416667,1.183991121
1678.5,1.185430847
1678.583333,1.186656611
1678.666667,1.187695839
1678.75,1.188577784
1678.833333,1.189333242
1678.916667,1.189994242
1679,1.190593723
1679.083333,1.191165202
1679.166667,1.191742417
1679.25,1.192358976
1679.333333,1.193047993
1679.416667,1.193841719
1679.5,1.194771183
1679.583333,1.195865832
1679.666667,1.197153178
1679.75,1.198658465
1679.833333,1.200404345
1679.916667,1.202410583
1680,1.204693781
1680.083333,1.20726714
1680.166667,1.21014025
1680.25,1.213318928
1680.333333,1.21680509
1680.416667,1.220596681
1680.5,1.224687643
1680.583333,1.229067937
1680.666667,1.233723618
1680.75,1.23863695
1680.833333,1.243786578
1680.916667,1.249147738
1681,1.254692512
1681.083333,1.260390114
1681.166667,1.266207221
1681.25,1.272108317
1681.333333,1.27805607
1681.416667,1.284011721
1681.5,1.289935488
1681.583333,1.295786978
1681.666667,1.301525599
1681.75,1.307110981
1681.833333,1.312503382
1681.916667,1.317664089
1682,1.322555814
1682.083333,1.32714306
1682.166667,1.331392473
1682.25,1.335273171
1682.333333,1.338757038
1682.416667,1.341818993
1682.5,1.344437215
1682.583333,1.346593347
1682.666667,1.348272643
1682.75,1.349464098
1682.833333,1.350160519
1682.916667,1.350358572
1683,1.350058784
1683.083333,1.349265505
1683.166667,1.347986839
1683.25,1.346234536
1683.333333,1.344023849
1683.416667,1.341373362
1683.5,1.338304782
1683.583333,1.33484271
1683.666667,1.331014379
1683.75,1.326849372
1683.833333,1.32237932
1683.916667,1.317637582
1684,1.312658906
1684.083333,1.307479086
1684.166667,1.30213461
1684.25,1.296662302
1684.333333,1.291098967
1684.416667,1.285481044
1684.5,1.27984426
1684.583333,1.274223297
1684.666667,1.26865148
1684.75,1.263160469
1684.833333,1.257779979
1684.916667,1.252537523
1685,1.247458175
1685.083333,1.242564362
1685.166667,1.237875689
1685.25,1.233408799
1685.333333,1.229177259
1685.416667,1.225191491
1685.5,1.221458741
1685.583333,1.217983078
1685.666667,1.214765439
1685.75,1.211803704
1685.833333,1.209092812
1685.916667,1.206624906
1686,1.204389508
1686.083333,1.202373735
1686.166667,1.200562525
1686.25,1.198938897
1686.333333,1.19748423
1686.416667,1.196178559
1686.5,1.195000877
1686.583333,1.193929461
1686.666667,1.19294219
1686.75,1.192016874
1686.833333,1.191131576
1686.916667,1.190264928
1687,1.189396444
1687.083333,1.188506801
1687.166667,1.187578121
1687.25,1.18659421
1687.333333,1.185540784
1687.416667,1.184405658
1687.5,1.183178899
1687.583333,1.181852954
1687.666667,1.180422736
1687.75,1.178885678
1687.833333,1.177241749
1687.916667,1.175493448
1688,1.173645755
1688.083333,1.171706058
1688.166667,1.169684062
1688.25,1.167591664
1688.333333,1.165442819
1688.416667,1.163253388
1688.5,1.161040966
1688.583333,1.158824708
1688.666667,1.156625139
1688.75,1.154463956
1688.833333,1.152363822
1688.916667,1.150348157
1689,1.148440917
1689.083333,1.14666637
1689.166667,1.145048867
1689.25,1.143612604
1689.333333,1.142381389
1689.416667,1.141378389
1689.5,1.140625893
1689.583333,1.140145064
1689.666667,1.139955695
1689.75,1.140075971
1689.833333,1.140522241
1689.916667,1.141308798
1690,1.142447675
1690.083333,1.143948466
1690.166667,1.145818159
1690.25,1.148061012
1690.333333,1.150678448
1690.416667,1.153668992
1690.5,1.157028243
1690.583333,1.160748879
1690.666667,1.164820704
1690.75,1.169230731
1690.833333,1.173963298
1690.916667,1.179000216
1691,1.184320952
1691.083333,1.189902828
1691.166667,1.195721252
1691.25,1.201749957
1691.333333,1.207961255
1691.416667,1.214326297
1691.5,1.220815344
1691.583333,1.227398024
1691.666667,1.234043608
1691.75,1.24072126
1691.833333,1.247400294
1691.916667,1.25405042
1692,1.260641973
1692.083333,1.26714614
1692.166667,1.273535161
1692.25,1.279782522
1692.333333,1.28586313
1692.416667,1.291753467
1692.5,1.297431729
1692.583333,1.302877938
1692.666667,1.308074047
1692.75,1.313004009
1692.833333,1.317653843
1692.916667,1.322011667
1693,1.326067717
1693.083333,1.329814344
1693.166667,1.333245998
1693.25,1.336359182
1693.333333,1.339152398
1693.416667,1.34162607
1693.5,1.343782451
1693.583333,1.345625517
1693.666667,1.347160842
1693.75,1.348395474
1693.833333,1.349337782
1693.916667,1.349997313
1694,1.350384637
1694.083333,1.350511185
1694.166667,1.350389093
1694.25,1.350031049
1694.333333,1.349450139
1694.416667,1.348659703
1694.5,1.347673202
1694.583333,1.346504094
1694.666667,1.345165715
1694.75,1.343671185
1694.833333,1.342033318
1694.916667,1.340264548
1695,1.338376873
1695.083333,1.33638181
1695.166667,1.334290366
1695.25,1.332113028
1695.333333,1.329859761
1695.416667,1.327540025
1695.5,1.3251628
1695.583333,1.32273663
1695.666667,1.320269668
1695.75,1.317769734
1695.833333,1.315244381
1695.916667,1.312700956
1696,1.310146673
1696.083333,1.307588674
1696.166667,1.305034089
1696.25,1.302490094
1696.333333,1.29996395
1696.416667,1.297463035
1696.5,1.294994861
1696.583333,1.29256708
1696.666667,1.290187468
1696.75,1.287863899
1696.833333,1.285604299
1696.916667,1.28341659
1697,1.28130862
1697.083333,1.279288071
1697.166667,1.277362375
1697.25,1.275538604
1697.333333,1.273823362
1697.416667,1.272222673
1697.5,1.270741871
1697.583333,1.269385476
1697.666667,1.268157094
1697.75,1.267059302
1697.833333,1.266093554
1697.916667,1.265260092
1698,1.264557865
1698.083333,1.263984472
1698.166667,1.263536116
1698.25,1.263207577
1698.333333,1.262992213
1698.416667,1.262881978
1698.5,1.262867464
1698.583333,1.262937973
1698.666667,1.263081601
1698.75,1.263285351
1698.833333,1.263535262
1698.916667,1.263816555
1699,1.264113792
1699.083333,1.264411042
1699.166667,1.264692059
1699.25,1.264940457
1699.333333,1.26513988
1699.416667,1.265274175
1699.5,1.265327553
1699.583333,1.265284733
1699.666667,1.265131089
1699.75,1.26485277
1699.833333,1.264436815
1699.916667,1.263871251
1700,1.263145182
1700.083333,1.262248857
1700.166667,1.261173735
1700.25,1.259912534
1700.333333,1.258459269
1700.416667,1.25680929
1700.5,1.254959298
1700.583333,1.252907364
1700.666667,1.250652936
1700.75,1.24819684
1700.833333,1.245541273
1700.916667,1.24268979
1701,1.239647285
1701.083333,1.236419957
1701.166667,1.233015284
1701.25,1.22944197
1701.333333,1.225709903
1701.416667,1.221830093
1701.5,1.217814603
1701.583333,1.213676481
1701.666667,1.209429672
1701.75,1.205088933
1701.833333,1.20066973
1701.916667,1.196188142
1702,1.19166074
1702.083333,1.187104479
1702.166667,1.182536569
1702.25,1.177974351
1702.333333,1.173435169
1702.416667,1.16893623
1702.5,1.164494478
1702.583333,1.160126453
1702.666667,1.155848155
1702.75,1.151674915
1702.833333,1.147621257
1702.916667,1.143700775
1703,1.139926007
1703.083333,1.136308321
1703.166667,1.132857805
1703.25,1.129583169
1703.333333,1.12649166
1703.416667,1.123588988
1703.5,1.120879264
1703.583333,1.118364959
1703.666667,1.116046871
1703.75,1.113924113
1703.833333,1.111994119
1703.916667,1.110252661
1704,1.108693889
1704.083333,1.107310388
1704.166667,1.106093249
1704.25,1.105032161
1704.333333,1.104115518
1704.416667,1.103330547
1704.5,1.102663449
1704.583333,1.102099553
1704.666667,1.10162349
1704.75,1.101219374
1704.833333,1.100870994
1704.916667,1.10056202
1705,1.100276209
1705.083333,1.09999762
1705.166667,1.099710826
1705.25,1.09940113
1705.333333,1.099054771
1705.416667,1.098659135
1705.5,1.09820294
1705.583333,1.097676427
1705.666667,1.097071521
1705.75,1.096381986
1705.833333,1.095603555
1705.916667,1.094734037
1706,1.093773398
1706.083333,1.09272382
1706.166667,1.091589719
1706.25,1.090377736
1706.333333,1.089096693
1706.416667,1.087757509
1706.5,1.086373084
1706.583333,1.084958148
1706.666667,1.083529075
1706.75,1.082103665
1706.833333,1.080700908
1706.916667,1.079340716
1707,1.078043642
1707.083333,1.076830588
1707.166667,1.075722506
1707.25,1.074740102
1707.333333,1.073903546
1707.416667,1.073232194
1707.5,1.072744327
1707.583333,1.072456914
1707.666667,1.07238539
1707.75,1.072543475
1707.833333,1.072943002
1707.916667,1.073593795
1708,1.074503558
1708.083333,1.075677808
1708.166667,1.077119828
